"","age","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G3","school_MS","sex_M","address_R","famsize_LE3","Pstatus_A","Medu_College","Fedu_College","Mjob_at_home","Fjob_at_home","reason_home","reason_other","reason_reputation","guardian_father","guardian_other","schoolsup_yes","famsup_no","paid_yes","activities_yes","nursery_no","higher_no","internet_no","romantic_yes","traveltime_TravelGT30Mins","studytime_StudyGT5Hrs"
"1",18,0,4,3,4,1,1,3,4,11,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"2",17,0,5,3,3,1,1,3,2,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"3",15,0,4,3,2,2,3,3,6,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"4",15,0,3,2,2,1,1,5,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"5",16,0,4,3,2,1,2,5,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6",16,0,5,4,2,1,2,5,6,13,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7",16,0,4,4,4,1,1,3,0,13,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8",17,0,4,1,4,1,1,1,2,13,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"9",15,0,4,2,2,1,1,1,0,17,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",15,0,5,5,1,1,1,5,0,13,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",15,0,3,3,3,1,2,2,2,14,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",15,0,5,2,2,1,1,4,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
